,Geographic area,Indicator,Sex,Series Name,Series Year,TIME_PERIOD,Unit of measure,STD_ERR,INTERVAL
202609,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,1991-06,Deaths per 1000 live births,2.608378,5.0
202610,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,1996-06,Deaths per 1000 live births,2.2736389999999997,5.0
202611,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,2001-06,Deaths per 1000 live births,1.7390990000000002,5.0
202612,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,2006-06,Deaths per 1000 live births,1.731843,5.0
202613,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,2011-06,Deaths per 1000 live births,1.5261120000000001,5.0
202614,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2003 (Direct),2003,1980-06,Deaths per 1000 live births,6.198504,5.0
202615,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2003 (Direct),2003,1985-06,Deaths per 1000 live births,4.002953,5.0
202616,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2003 (Direct),2003,1990-06,Deaths per 1000 live births,2.934606,5.0
202617,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2003 (Direct),2003,1995-06,Deaths per 1000 live births,3.263255,5.0
202618,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2003 (Direct),2003,2000-06,Deaths per 1000 live births,3.0545400000000003,5.0
202619,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1998 (Direct),1998,1975-06,Deaths per 1000 live births,5.521961,5.0
202620,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1998 (Direct),1998,1980-06,Deaths per 1000 live births,3.4516989999999996,5.0
202621,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1998 (Direct),1998,1985-06,Deaths per 1000 live births,3.3674839999999997,5.0
202622,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1998 (Direct),1998,1990-06,Deaths per 1000 live births,2.4498290000000003,5.0
202623,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1998 (Direct),1998,1995-06,Deaths per 1000 live births,2.977258,5.0
202624,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1989 (Direct),1989,1965-06,Deaths per 1000 live births,4.107647,5.0
202625,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1989 (Direct),1989,1970-06,Deaths per 1000 live births,3.520598,5.0
202626,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1989 (Direct),1989,1975-06,Deaths per 1000 live births,3.152427,5.0
202627,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1989 (Direct),1989,1980-06,Deaths per 1000 live births,2.394232,5.0
202628,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1989 (Direct),1989,1985-06,Deaths per 1000 live births,2.325043,5.0
202629,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1993 (Direct),1993,1970-06,Deaths per 1000 live births,6.8254649999999994,5.0
202630,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1993 (Direct),1993,1975-06,Deaths per 1000 live births,4.609854,5.0
202631,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1993 (Direct),1993,1980-06,Deaths per 1000 live births,3.738868,5.0
202632,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1993 (Direct),1993,1985-06,Deaths per 1000 live births,2.89039,5.0
202633,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 1993 (Direct),1993,1990-06,Deaths per 1000 live births,2.425462,5.0
202634,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2008-2009 (Direct),2008-2009,1985-06,Deaths per 1000 live births,5.98136,5.0
202635,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2008-2009 (Direct),2008-2009,1990-06,Deaths per 1000 live births,5.492592,5.0
202636,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2008-2009 (Direct),2008-2009,1995-06,Deaths per 1000 live births,3.81578,5.0
202637,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2008-2009 (Direct),2008-2009,2000-06,Deaths per 1000 live births,4.707007,5.0
202638,Kenya,Neonatal mortality rate,Total,Demographic and Health Survey 2008-2009 (Direct),2008-2009,2005-06,Deaths per 1000 live births,3.992228,5.0
202639,Kenya,Neonatal mortality rate,Total,World Fertility Survey 1977-1978 (Direct),1977-1978,1954-06,Deaths per 1000 live births,5.17,5.0
202640,Kenya,Neonatal mortality rate,Total,World Fertility Survey 1977-1978 (Direct),1977-1978,1959-06,Deaths per 1000 live births,5.51,5.0
202641,Kenya,Neonatal mortality rate,Total,World Fertility Survey 1977-1978 (Direct),1977-1978,1964-06,Deaths per 1000 live births,3.23,5.0
202642,Kenya,Neonatal mortality rate,Total,World Fertility Survey 1977-1978 (Direct),1977-1978,1969-06,Deaths per 1000 live births,3.03,5.0
202643,Kenya,Neonatal mortality rate,Total,World Fertility Survey 1977-1978 (Direct),1977-1978,1974-06,Deaths per 1000 live births,3.03,5.0
202644,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1954-06,Deaths per 1000 live births,,1.0
202645,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1955-06,Deaths per 1000 live births,,1.0
202646,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1956-06,Deaths per 1000 live births,,1.0
202647,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1957-06,Deaths per 1000 live births,,1.0
202648,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1958-06,Deaths per 1000 live births,,1.0
202649,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1959-06,Deaths per 1000 live births,,1.0
202650,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1960-06,Deaths per 1000 live births,,1.0
202651,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1961-06,Deaths per 1000 live births,,1.0
202652,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1962-06,Deaths per 1000 live births,,1.0
202653,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1963-06,Deaths per 1000 live births,,1.0
202654,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1964-06,Deaths per 1000 live births,,1.0
202655,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1965-06,Deaths per 1000 live births,,1.0
202656,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1966-06,Deaths per 1000 live births,,1.0
202657,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1967-06,Deaths per 1000 live births,,1.0
202658,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1968-06,Deaths per 1000 live births,,1.0
202659,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1969-06,Deaths per 1000 live births,,1.0
202660,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1970-06,Deaths per 1000 live births,,1.0
202661,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1971-06,Deaths per 1000 live births,,1.0
202662,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1972-06,Deaths per 1000 live births,,1.0
202663,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1973-06,Deaths per 1000 live births,,1.0
202664,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1974-06,Deaths per 1000 live births,,1.0
202665,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1975-06,Deaths per 1000 live births,,1.0
202666,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1976-06,Deaths per 1000 live births,,1.0
202667,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1977-06,Deaths per 1000 live births,,1.0
202668,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1978-06,Deaths per 1000 live births,,1.0
202669,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1979-06,Deaths per 1000 live births,,1.0
202670,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1980-06,Deaths per 1000 live births,,1.0
202671,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1981-06,Deaths per 1000 live births,,1.0
202672,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1982-06,Deaths per 1000 live births,,1.0
202673,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1983-06,Deaths per 1000 live births,,1.0
202674,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1984-06,Deaths per 1000 live births,,1.0
202675,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1985-06,Deaths per 1000 live births,,1.0
202676,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1986-06,Deaths per 1000 live births,,1.0
202677,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1987-06,Deaths per 1000 live births,,1.0
202678,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1988-06,Deaths per 1000 live births,,1.0
202679,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1989-06,Deaths per 1000 live births,,1.0
202680,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1990-06,Deaths per 1000 live births,,1.0
202681,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1991-06,Deaths per 1000 live births,,1.0
202682,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1992-06,Deaths per 1000 live births,,1.0
202683,Kenya,Neonatal mortality rate,Total,UN IGME estimate,2020,1993-06,Deaths per 1000 live births,,1.0
